영화명,제작연도,장르
나에게 조건은 없다,1971,드라마
지금은 남이지만,1971,드라마
낙도의 무지개,1971,드라마
늑대와 고양이들,1971,코미디
천마산의 결투,1971,"사극,액션"
잠들면 떠나주오,1971,멜로/로맨스
대합실의 여인,1971,멜로/로맨스
애,1971,멜로/로맨스
빗 속에 떠날 사람,1971,멜로/로맨스
두 줄기 눈물 속에,1971,액션
대표객,1971,액션
과객,1971,"사극,액션"
다섯개의 단검,1971,"사극,액션"
미워도 안녕,1971,멜로/로맨스
내실 사모님,1971,멜로/로맨스
두 딸,1971,멜로/로맨스
어느 사랑의 이야기,1971,멜로/로맨스
안개 부인,1971,멜로/로맨스
명동사나이 따로 있더냐,1971,액션
죄 많은 여인,1971,멜로/로맨스
미워도 정 때문에,1971,멜로/로맨스
죽도록 사랑했노라,1971,멜로/로맨스
명동에 흐르는 세월,1971,액션
어느 여도박사,1971,멜로/로맨스
잃어버린 계절,1971,멜로/로맨스
춘색한녀,1971,공포(호러)
설로혈로,1971,액션
신용검객,1971,액션
한 많은 두 여인,1971,드라마
속 두아들,1971,드라마
독룡,1971,액션
대감신랑,1971,사극
늦기전에,1971,멜로/로맨스
족보,1971,드라마
내 아들아,1971,멜로/로맨스
용호투금강,1971,액션
유쾌한 딸 7형제,1971,"드라마,멜로/로맨스"
이복 삼형제,1971,멜로/로맨스
외로운 산까치,1971,멜로/로맨스
흐느끼는 두 여인,1971,드라마
들개,1971,"드라마,멜로/로맨스"
소녀의 첫사랑,1971,멜로/로맨스
연애교실,1971,멜로/로맨스
월남에서 돌아온 김상사,1971,드라마
사랑을 빌립시다,1971,멜로/로맨스
두 남자,1971,드라마
청산에 우는 새야,1971,멜로/로맨스
아마도 빗물이겠지,1971,멜로/로맨스
72K 다이야를 찾아라,1971,액션
그날 밤 생긴 일,1971,멜로/로맨스
못잊을 당신,1971,멜로/로맨스
미스 리,1971,멜로/로맨스
장군의 딸들,1971,멜로/로맨스
무정의 네온가,1971,액션
춘향전,1971,사극
갑순이,1971,멜로/로맨스
떡국,1971,드라마
현상붙은 4인의 악녀,1971,액션
위자료,1971,멜로/로맨스
내일의 팔도강산,1971,드라마
옥합을 깨뜨릴 때,1971,멜로/로맨스
말썽난 총각,1971,드라마
작은 사랑의 멜로디,1971,드라마
라스트 아프리카,1971,다큐멘터리
사랑은 저 멀리서,1971,"드라마,가족"
전쟁이여 잘 있거라,1971,"드라마,액션,전쟁"
샤프트,1971,"드라마,액션,범죄,스릴러"
어둠속에 벨이 울릴 때,1971,"드라마,스릴러"
미망인,1971,"범죄,멜로/로맨스"
멀고 먼 푸른바다,1971,"어드벤처,다큐멘터리"
쥬리의 공포,1971,"공포(호러),미스터리,스릴러"
하리케인 작전,1971,스릴러
캣트로,1971,"서부극(웨스턴),코미디"
파리는 안개에 젖어,1971,드라마
대자연의 투쟁,1971,"다큐멘터리,드라마"
대도적,1971,"액션,범죄,스릴러"
007 다이아몬드는 영원히,1971,액션
포터부인의 사랑,1971,"뮤지컬,가족,드라마"
백상어,1971,"다큐멘터리,드라마"
원시인의 백만년,1971,"공포(호러),SF,어드벤처"
크레이지 보이,1971,"코미디,어드벤처,전쟁"
애수의 셰리,1971,드라마
영광의 라이더,1971,다큐멘터리
레드 선,1972,"사극,액션"
사랑하는 아들 딸아,1972,멜로/로맨스
겟어웨이,1972,"드라마,범죄,스릴러,액션"
쥐띠부인,1972,드라마
섬개구리 만세,1972,멜로/로맨스
화분,1972,미스터리
14인의 여걸,1972,"어드벤처,전쟁"
죽음의 다섯 손가락,1972,액션
11인의 카우보이,1972,"드라마,서부극(웨스턴)"
맹룡과강,1972,"액션,코미디,범죄"
타겟트,1972,액션
일대일,1972,액션
무녀도,1972,드라마
명동 잔혹사,1972,액션
논개,1972,사극
결혼 반지,1972,멜로/로맨스
별이 빛나는 밤에,1972,드라마
나와 나,1972,"멜로/로맨스,미스터리"
충녀,1972,드라마
신풍협객,1972,"사극,액션"
삼국대협,1972,사극
기로,1972,멜로/로맨스
섬머타임 킬러,1972,"범죄,액션"
분노의 세얼굴,1972,액션
작은 꿈이 꽃필 때,1972,드라마
작별,1972,"멜로/로맨스,드라마"
석화촌,1972,드라마
효녀 심청,1972,사극
여고시절,1972,드라마
제3의 추적,1972,액션
대지옥,1972,사극
두 사나이,1972,드라마
체포령,1972,"드라마,범죄"
특공외인부대,1972,"드라마,전쟁"
멋진 인생,1972,"액션,드라마"
정도,1972,액션
항구의 등불,1972,드라마
작크를 채워라,1972,액션
해 달 별 그리고 사랑,1972,멜로/로맨스
해벽,1972,드라마
판사부인,1972,드라마
별난 장군,1972,코미디
아들 딸 찾아 천리길,1972,멜로/로맨스
우리의 팔도강산,1972,드라마
인생 우등생,1972,드라마
사랑하는 아들의 심판,1972,드라마
이별의 길,1972,멜로/로맨스
유정 30년,1972,멜로/로맨스
인왕산 호랑이,1972,액션
인생은 나그네길,1972,멜로/로맨스
흑객,1972,액션
미움이 변하여,1972,멜로/로맨스
돌아갈 수 없는 고향,1972,멜로/로맨스
이 밤이여 영원히,1972,멜로/로맨스
옥녀의 한,1972,공포(호러)
불장난,1972,멜로/로맨스
내 딸아 울지마라,1972,멜로/로맨스
웃고 사는 박서방,1972,멜로/로맨스
벽속의 남자,1972,멜로/로맨스
지프,1972,액션
설야의 여곡성,1972,공포(호러)
혈보산천,1972,"사극,액션"
어디로 가야하나,1972,멜로/로맨스
무릎 꿇고 빌련다,1972,멜로/로맨스
정과 정 사이에,1972,멜로/로맨스
밀녀,1972,미스터리
목소리,1972,드라마
여당수,1972,액션
이 생명 다시 한번,1972,멜로/로맨스
약한 자여,1972,멜로/로맨스
유령소동,1972,코미디
동업자,1972,액션
의사 안중근,1972,사극
방자와 향단이,1972,멜로/로맨스
어머님 울지마세요,1972,멜로/로맨스
밤길,1972,멜로/로맨스
아빠라 부르는 여인,1972,멜로/로맨스
튜니티는 아직도 내 이름,1972,"액션,코미디,서부극(웨스턴)"
메카닉,1972,"액션,스릴러,범죄"
바라키,1972,액션
센추리안,1972,"드라마,범죄"
안개속의 미행자,1972,액션
데린자,1972,"드라마,범죄"
슈베르트의 아베마리아,1972,"멜로/로맨스,드라마"
크레이지 보이 스페인대소동,1972,코미디
더블데이트 대소동,1972,드라마
돌아온 드라큐라,1972,공포(호러)
황야의 죠,1972,"드라마,서부극(웨스턴),액션"
사랑은 영원히,1972,"드라마,뮤지컬"
비오는 날 다시한번,1972,드라마
아루자,1972,"드라마,다큐멘터리"
연애대소동,1972,"멜로/로맨스,코미디"
리빙프리,1972,"드라마,가족,어드벤처"
위험한 침입자,1972,"드라마,범죄"
처녀 시절,1973,멜로/로맨스
엑소시스트 2000,1973,공포(호러)
악인의 계곡,1973,"사극,액션"
혈권,1973,액션
앙케의 영웅들,1973,전쟁
빅건,1973,"드라마,액션,범죄,스릴러"
서울의 연인,1973,멜로/로맨스
교장 선생 상경기,1973,코미디
처녀의 수첩,1973,코미디
대추격,1973,액션
잡초,1973,멜로/로맨스
증언,1973,드라마
흑권,1973,액션
삼일천하,1973,사극
반혼녀,1973,공포(호러)
창녀 고문 지옥,1973,드라마
하숙 인생,1973,멜로/로맨스
흑야괴객,1973,"범죄,스릴러,액션"
흑연비수,1973,액션
수절,1973,공포(호러)
팬더와 친구들의 모험,1973,애니메이션
암흑가의 두 사람,1973,"드라마,범죄"
두 사람,1973,"멜로/로맨스,드라마,전쟁"
동풍,1973,액션
여감방,1973,액션
스팅,1973,"범죄,코미디"
에바의 연정,1973,"드라마,범죄"
엘비스 언 스테이지,1973,다큐멘터리
비련의 벙어리 삼룡,1973,드라마
신디케이트,1973,"드라마,액션,범죄,스릴러"
바르데즈,1973,서부극(웨스턴)
검은 태양,1973,다큐멘터리
할복,1973,액션
죽어서 말하는 여인,1973,드라마
별난 장군과 팔도부하,1973,드라마
흑녀,1973,액션
천풍,1973,"사극,액션"
하남별곡,1973,액션
아빠의 이름은,1973,"멜로/로맨스,드라마"
일대영웅,1973,액션
출발,1973,멜로/로맨스
누명,1973,미스터리
황사진,1973,사극
특별수사본부 배태옥 사건,1973,"드라마,전쟁"
청춘 25시,1973,멜로/로맨스
마음은 푸른 하늘,1973,드라마
깊은 사이,1973,멜로/로맨스
캐서린의 탈출,1973,"드라마,액션"
일요일의 손님들,1973,멜로/로맨스
홍의 장군,1973,사극
넋,1973,공포(호러)
석양에 떠나라,1973,액션
철권,1973,액션
야간 비행,1973,드라마
수선화,1973,드라마
대학시절,1973,멜로/로맨스
쥬리아와 도꾸가와 이에야스,1973,사극
비바리,1973,드라마
광복 20년과 백범 김구,1973,드라마
집행유예,1973,액션
기상천외,1973,코미디
언제나 님과 함께,1973,멜로/로맨스
축배,1973,멜로/로맨스
9월의 찻집,1973,멜로/로맨스
천사의 메아리,1973,뮤지컬
산녀,1973,멜로/로맨스
행복이 쏟아지는 벌판,1973,멜로/로맨스
두 형제,1973,드라마
몸 전체로 사랑을,1973,멜로/로맨스
늑대들,1973,미스터리
육군사관학교,1973,드라마
명동을 떠나면서,1973,액션
그 얼굴에 햇살을,1973,멜로/로맨스
대결투,1973,액션
황소 타고 시집 왔네,1973,드라마
여대생 또순이,1973,멜로/로맨스
딸부자집,1973,멜로/로맨스
동반자,1973,멜로/로맨스
황야의 스트렌저,1973,"서부극(웨스턴),스릴러"
엑소시스트,1973,"공포(호러),스릴러"
신디케이트 워,1973,드라마
선샤인,1973,드라마
이소룡의 생과 사,1973,"다큐멘터리,드라마"
무숙자,1973,코미디
소녀,1973,드라마
바캉스,1973,코미디
샤머스,1973,"액션,범죄,미스터리"
솔티,1973,"드라마,코미디,가족"
삼총사,1973,"사극,액션,드라마"
파리의 야화,1973,"드라마,뮤지컬"
스콜피오,1973,"드라마,액션,스릴러"
마로여걸,1973,"드라마,액션,코미디"
나이트 워치,1973,"공포(호러),미스터리,스릴러"
세븐 엎스,1973,"드라마,미스터리,범죄,스릴러"
에스피오나지,1973,스릴러
공포의 드라큐라,1973,"공포(호러),드라마"
이것이 법이다,1973,"범죄,스릴러,액션"
워킹톨,1973,"액션,드라마,범죄"
007 제8편 : 죽느냐 사느냐,1973,"범죄,액션"
아마조네스,1973,"액션,어드벤처"
용쟁호투,1973,"범죄,액션"
종횡천하,1973,액션
매드매드 투 펀치,1973,코미디
불안은 영혼을 잠식한다,1974,드라마
열애,1974,드라마
대학생,1974,멜로/로맨스
악령,1974,공포(호러)
황비,1974,액션
용호대련,1974,액션
비엔나 호텔의 야간배달부,1974,"드라마,멜로/로맨스,범죄"
밤에도 뜨는 태양,1974,드라마
잊지 못할 모정,1974,드라마
울지 않으리,1974,전쟁
연화,1974,사극
속 연화,1974,사극
13세 소년,1974,드라마
한강,1974,"멜로/로맨스,드라마"
파계,1974,드라마
삼각의 함정,1974,멜로/로맨스
호랑이 아줌마,1974,"멜로/로맨스,드라마"
의처 소동,1974,코미디
유관순,1974,"드라마,사극"
흑무사,1974,액션
어제 내린 비,1974,멜로/로맨스
청녀,1974,드라마
들국화는 피었는데,1974,"드라마,전쟁"
태양닮은 소녀,1974,"멜로/로맨스,드라마"
공포의 이중인간,1974,미스터리
혼혈아 쥬리,1974,"멜로/로맨스,드라마"
가르시아,1974,"드라마,범죄,사극,스릴러"
어둠 속의 목격자,1974,액션
마음은 짚시,1974,"멜로/로맨스,드라마"
호기심,1974,"멜로/로맨스,드라마"
크미치스,1974,"어드벤처,전쟁,드라마"
골드,1974,"드라마,액션,스릴러,어드벤처"
세븐 얼론,1974,"가족,서부극(웨스턴)"
사대천왕,1974,액션
쥬리아,1974,드라마
대지진,1974,어드벤처
낭자 한,1974,공포(호러)
엔터테인먼트,1974,"다큐멘터리,드라마"
나자리노,1974,"드라마,판타지"
아리랑,1974,드라마
골든 보이,1974,범죄
추방객,1974,"액션,범죄"
흑묘,1974,사극
속 돌아온 외다리,1974,액션
마르세이유 탈출,1974,"드라마,스릴러"
맹물로 가는 자동차,1974,코미디
흑백대권,1974,액션
본능,1974,멜로/로맨스
망나니,1974,사극
마지막 대결,1974,액션
방랑의 영웅,1974,액션
황혼의 만하탄,1974,멜로/로맨스
나상,1974,멜로/로맨스
이조 상노비사,1974,사극
5천리 대도망,1974,드라마
빵간에 산다,1974,멜로/로맨스
남사당,1974,사극
70인의 여죄수,1974,드라마
일생,1974,액션
빌리장,1974,액션
악명,1974,액션
어린 시절,1974,드라마
2박 3일,1974,멜로/로맨스
위험한 사이,1974,멜로/로맨스
출세작전,1974,코미디
달래,1974,멜로/로맨스
하얀 손수건,1974,멜로/로맨스
묘녀,1974,"멜로/로맨스,드라마"
낙인,1974,액션
비에 젖은 입술,1974,멜로/로맨스
이중섭,1974,드라마
동거인,1974,멜로/로맨스
국회 푸락치,1974,드라마
멋진 사나이들,1974,드라마
야녀,1974,드라마
토지,1974,드라마
배신자,1974,액션
이름 모를 소녀,1974,멜로/로맨스
진아의 편지,1974,드라마
만나야 할 사람,1974,멜로/로맨스
박수무당,1974,사극
아랑 낭자전,1974,공포(호러)
명동에서 첫사랑을,1974,멜로/로맨스
애정이 꽃피는 계절,1974,드라마
청춘 불시착,1974,"멜로/로맨스,액션"
꽃상여,1974,드라마
첫손님,1974,멜로/로맨스
왜?,1974,액션
너와 나 그리고 또 하나,1974,멜로/로맨스
공포의 숨소리,1974,공포(호러)
속 눈물의 웨딩드레스,1974,"멜로/로맨스,드라마"
토요일 밤에,1974,드라마
돌아온 외다리,1974,액션
성숙,1974,멜로/로맨스
숙녀 초년생,1974,멜로/로맨스
갈매기의 꿈,1974,드라마
눈으로 묻고 얼굴로 대답하고 마음 속 가득히 사랑은 영원히,1974,"멜로/로맨스,드라마"
올챙이 구애 작전,1974,멜로/로맨스
속 이별,1974,멜로/로맨스
하얀 수염,1974,드라마
암살 지령,1974,"드라마,스릴러"
청바지,1974,멜로/로맨스
시집 갈래요,1974,멜로/로맨스
지구여 멈춰라 내리고 싶다,1974,멜로/로맨스
위험한 영웅,1974,액션
흑발,1974,공포(호러)
아빠하고 나하고,1974,멜로/로맨스
작은 새,1974,멜로/로맨스
설야,1974,멜로/로맨스
풍운의 권객,1974,코미디
마지막 다섯 손가락,1974,액션
그대의 찬손,1974,드라마
서로 좋아해,1974,"멜로/로맨스,드라마"
흑표객,1974,액션
그건 너,1974,멜로/로맨스
천마신검,1974,공포(호러)
죽엄의 다리,1974,액션
안개속의 초혼,1974,멜로/로맨스
검은 야광주,1974,액션
외로운 산장에서,1974,멜로/로맨스
사랑이 있는 곳에,1974,멜로/로맨스
연풍,1974,멜로/로맨스
신설,1974,드라마
나는 살아야 한다,1974,"드라마,멜로/로맨스"
대형,1974,멜로/로맨스
잊을 수는 없겠지,1974,멜로/로맨스
행운,1974,"멜로/로맨스,드라마"
그대 변치 마오,1974,뮤지컬
철면객,1974,"드라마,액션"
소띠 아저씨,1974,드라마
조심해 화났다구,1974,"액션,코미디"
위대한 켓스비,1974,"멜로/로맨스,드라마"
벤지,1974,"드라마,가족,어드벤처"
조로,1974,"서부극(웨스턴),어드벤처"
마제스틱,1974,"액션,범죄,스릴러"
볼사리노2,1974,"드라마,액션,범죄"
"속, 혹성탈출",1974,"액션,SF,판타지"
신들린여인,1974,"공포(호러),드라마,스릴러"
오뎃사화일,1974,"드라마,스릴러"
블라드 마니,1974,"서부극(웨스턴),액션"
007 제9편 : 황금총을 가진 사나이,1974,"액션,어드벤처"
후리비의 대난전,1974,"드라마,코미디,범죄"
죠스,1975,"어드벤처,공포(호러),스릴러"
너 또한 별이 되어,1975,공포(호러)
파라문,1975,액션
격동,1975,액션
49제,1975,액션
10대의 영광,1975,멜로/로맨스
미인,1975,멜로/로맨스
르네의 사생활,1975,"드라마,멜로/로맨스"
바보들의 행진,1975,코미디
무장 해제,1975,액션
협객 김두한,1975,액션
육체의 약속,1975,멜로/로맨스
왜 그랬던가,1975,드라마
아이 러브 마마,1975,"멜로/로맨스,뮤지컬"
춘희 '75,1975,멜로/로맨스
장미와 들개,1975,멜로/로맨스
연인들,1975,멜로/로맨스
미스 영의 행방,1975,멜로/로맨스
나의 인생 고백 2,1975,코미디
운수대통,1975,코미디
만딩고,1975,드라마
가수왕,1975,멜로/로맨스
애수의 샌프란시스코,1975,멜로/로맨스
흑거미,1975,액션
그랑프리,1975,애니메이션
초연,1975,"멜로/로맨스,드라마"
마이웨이,1975,"가족,드라마"
엠마뉴엘 2,1975,드라마
새벽의 7인,1975,"드라마,어드벤처,전쟁"
뻐꾸기둥지위로 날아간 새,1975,드라마
후릭크,1975,"액션,범죄,스릴러"
쇼킹아시아,1975,다큐멘터리
저 하늘의 태양이,1975,드라마
빨간 구두,1975,멜로/로맨스
추상,1975,"드라마,스릴러,전쟁"
럭키 레이디,1975,"드라마,코미디"
스카이 하이,1975,"드라마,액션,어드벤처"
재뉴어리,1975,"드라마,멜로/로맨스"
브레이크 아웃,1975,"액션,어드벤처"
바람과 라이온,1975,"드라마,액션,어드벤처"
김두한 3,1975,액션
흑야,1975,드라마
석별,1975,멜로/로맨스
사랑을 빌려 드립니다,1975,멜로/로맨스
미스 염의 순정시절,1975,멜로/로맨스
비녀,1975,멜로/로맨스
거지왕 김춘삼,1975,액션
창수의 전성시대,1975,멜로/로맨스
광녀,1975,액션
비밀객,1975,액션
꽃과 뱀,1975,멜로/로맨스
졸업시험,1975,멜로/로맨스
10년만의 외출,1975,"멜로/로맨스,드라마"
숲과 늪,1975,멜로/로맨스
황토,1975,드라마
바보 용칠이,1975,멜로/로맨스
독사,1975,액션
태양의 분노,1975,액션
청춘극장,1975,멜로/로맨스
병태의 감격시대,1975,"드라마,코미디"
약속,1975,멜로/로맨스
눈물젖은 샌드백,1975,멜로/로맨스
학녀,1975,멜로/로맨스
용호문,1975,액션
탈출,1975,드라마
사생결단,1975,액션
밀행,1975,"드라마,미스터리"
소,1975,드라마
인사여무,1975,공포(호러)
태풍을 일으킨 사나이,1975,멜로/로맨스
욕망,1975,"멜로/로맨스,드라마"
안나의 유서,1975,멜로/로맨스
춘자의 사랑 이야기,1975,멜로/로맨스
여고 졸업반,1975,드라마
감방,1975,액션
흑룡,1975,액션
반수반인,1975,공포(호러)
낮과 밤의 두황제,1975,액션
나는 어떡하라고,1975,멜로/로맨스
애종,1975,멜로/로맨스
인간 단지,1975,"멜로/로맨스,드라마"
빛은 어디에,1975,드라마
타인의 숨결,1975,드라마
애처일기,1975,멜로/로맨스
극락조,1975,드라마
강인의 무덤,1975,액션
작은 별,1975,드라마
정형 미인,1975,공포(호러)
지옥의 초대장,1975,액션
죽음의 승부,1975,액션
천하무적,1975,"드라마,액션"
폭력은 없다,1975,멜로/로맨스
소림사의 결투,1975,액션
원한의 여권,1975,액션
그레이트 헌팅,1975,"공포(호러),다큐멘터리"
속 써스페리아,1975,"공포(호러),미스터리,스릴러"
클레오파트라 카지노정복,1975,액션
알카포네,1975,"드라마,액션"
총알을 물어라,1975,"액션,서부극(웨스턴),어드벤처"
몬테크리스토 백작,1975,"드라마,액션,어드벤처"
밤의 추적자,1975,액션
초인 사베지,1975,"액션,어드벤처"
몬도가네,1975,"다큐멘터리,드라마"
보스 레프키,1975,드라마
씨받이 대소동,1975,드라마
내 마음의 풍차,1976,"드라마,멜로/로맨스"
카산드라 크로스,1976,"액션,스릴러,드라마"
용비,1976,"드라마,범죄,스릴러"
청춘공화국,1976,드라마
졸업생,1976,드라마
용사왕,1976,"SF,드라마"
수제자,1976,"드라마,액션"
맨발의 억순이,1976,드라마
금욕,1976,"드라마,멜로/로맨스"
로보트 태권 V,1976,"SF,가족,애니메이션,액션,코미디"
바다의 사자들,1976,"드라마,멜로/로맨스"
오멘,1976,"공포(호러),스릴러"
오계,1976,"드라마,전쟁"
군용열차,1976,"서부극(웨스턴),액션,미스터리,범죄"
최후의 총잡이,1976,"서부극(웨스턴),액션"
왕십리,1976,"드라마,멜로/로맨스"
몸부림,1976,"드라마,멜로/로맨스"
낙동강은 흐르는가,1976,"드라마,전쟁"
맨발의 눈길,1976,"드라마,멜로/로맨스"
여수 407호,1976,드라마
속 여수 407호,1976,"드라마,범죄"
라스트 콘서트,1976,"드라마,멜로/로맨스"
아우트 로,1976,"서부극(웨스턴),액션"
심판자,1976,드라마
흑룡강,1976,액션
흑귀,1976,공포(호러)
진짜 진짜 잊지마,1976,"드라마,멜로/로맨스"
진짜 진짜 미안해,1976,"드라마,멜로/로맨스"
성춘향전,1976,멜로/로맨스
나는 고백한다,1976,멜로/로맨스
고교얄개,1976,드라마
목마와 숙녀,1976,드라마
소림사 18동인 2,1976,액션
소림사 18동인,1976,"사극,액션"
캐리,1976,"공포(호러),미스터리,스릴러"
국제 경찰,1976,"드라마,범죄,액션"
실버스트릭,1976,"범죄,코미디,액션"
뷰티플 피플,1976,"다큐멘터리,코미디"
킹콩의 대역습,1976,판타지
비정지대,1976,"드라마,스릴러,액션"
광화문통 아이,1976,"드라마,멜로/로맨스"
내마음 나도몰라,1976,"드라마,멜로/로맨스"
너는 달 나는 해,1976,"드라마,멜로/로맨스"
사대문파,1976,"사극,액션"
속 비밀객,1976,"사극,액션"
여신탐,1976,"사극,액션"
선생님 안녕,1976,"드라마,멜로/로맨스"
내사랑 에레나,1976,"드라마,멜로/로맨스"
송화강의 비객,1976,"사극,액션"
뉴욕 44번지,1976,"사극,액션"
악인이여 지옥행 열차를 타라,1976,액션
별명 붙은 운전사,1976,코미디
이런 마음 처음이야,1976,"드라마,코미디"
성난능금,1976,"드라마,멜로/로맨스"
집념,1976,사극
학도의용군,1976,드라마
독수리 전선,1976,"드라마,스릴러,전쟁"
의혈문,1976,액션
주고 싶은 마음,1976,"드라마,멜로/로맨스"
가위 바위 보,1976,"드라마,멜로/로맨스"
사랑의 계절,1976,"드라마,멜로/로맨스"
네가 좋아,1976,"드라마,멜로/로맨스"
말해버릴까,1976,"드라마,멜로/로맨스"
신혼소동,1976,드라마
어머니,1976,드라마
푸른 교실,1976,멜로/로맨스
우리에게 내일은 있다,1976,"가족,드라마"
영노,1976,"공포(호러),드라마,미스터리,스릴러"
쾌걸 일지매,1976,액션
방범대원 용팔이,1976,드라마
내 갈 길을 묻지마,1976,"드라마,액션"
내일 없는 추적,1976,액션
배덕자,1976,"드라마,범죄,액션"
대련의 해당화,1976,"드라마,범죄,스릴러,액션"
구삼육 사건,1976,액션
짝,1976,드라마
야성의 숲,1976,"드라마,멜로/로맨스"
울면 바보야,1976,드라마
돌아온 팔도강산,1976,드라마
용서받은 여인,1976,드라마
사나이 악수,1976,"드라마,액션"
밀명객,1976,"드라마,액션"
젊은 도시,1976,드라마
거대한 음모,1976,액션
검은 띠의 후계자,1976,"드라마,범죄"
과거는 왜 물어,1976,멜로/로맨스
빗 속의 여인들,1976,드라마
제7교실,1976,드라마
별하나 나하나,1976,"드라마,범죄"
정말 꿈이 있다구,1976,드라마
강력계,1976,범죄
너무 너무 좋은 거야,1976,"드라마,멜로/로맨스"
여수 대탈옥,1976,드라마
대탈출,1976,"드라마,스릴러,액션"
아메리카 방문객,1976,"드라마,액션"
원산공작,1976,"드라마,액션,전쟁"
옥중녀,1976,드라마
소녀의 기도,1976,드라마
청색시대,1976,멜로/로맨스
원무,1976,"공포(호러),드라마,미스터리"
딸 삼형제,1976,드라마
천의 얼굴,1976,"드라마,액션"
학창시절,1976,멜로/로맨스
걷지말고 뛰어라,1976,멜로/로맨스
왕룡,1976,"드라마,범죄,액션"
그래 그래 오늘은 안녕,1976,"드라마,멜로/로맨스"
악충,1976,액션
불꺼진 창,1976,드라마
청춘을 이야기 합시다,1976,드라마
어머니와 아들,1976,멜로/로맨스
캘리포니아 90006,1976,멜로/로맨스
